Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_CR2032_20mm,1,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9, DI1, DI2, DI3, DI4, DI5",D-SOD123-DO35-7mm-horizontal-combo_rev,30,1N4148,
"DS1, DS10, DS2, DS3, DS4, DS5, DS6, DS7, DS8, DS9",D-SOD123-DO35-7mm-horizontal-combo,10,1N4148,
"H2, H3, H4, H5, H6, H7",MountingHole_2.2mm_M2_DIN965_Pad,6,MountingHole,
J1,USB3_A_Aliexpress,1,USB3_A,
J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,JST PH 3 pin,
J3,BMS 1S,1,Conn_01x04_Socket,
"J4, J5",PinHeader_1x04_P2.54mm_Vertical,2,Thumb Reconnector,
J6,vik-keyboard-connector-vertical,1,~,
"JP1, JP10, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP2, JP21, JP22, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,20,Jumper_2_Open,
N1,Outline,1,Outline,
"RC0-1|0-6, RC2-1|2-6, RC2-3|2-8, RCA2-1|2-6, RCA2-3|2-8",Chocv12_reversible_hotswap_no_middle,5,SW_Push,
"RC0-2|0-7, RC0-3|0-8, RC0-4|0-9, RC1-0|1-5, RC1-2|1-7, RC1-3|1-8, RC1-4|1-9, RC2-0|2-5, RC2-4|2-9, RC3-0|3-5, RC3-1|3-6, RC3-2|3-7, RC3-4|3-9, RC4-0|4-5, RC4-1|4-6, RC4-2|4-7, RC4-3|4-8, RC5-0|0-5, RC5-1|5-6, RC5-2|5-7, RC5-3|5-8, RC5-4|5-9, RCA0-1|0-6, RCA5-2|5-7, RCA5-3|5-8",Chocv12_reversible_hotswap,25,SW_Push,
